description,biddable,startprice,condition,cellular,carrier,color,storage,productline,sold,UniqueID
Item has original packaging. Original packaging has stickers on box. Device has heavy scratches and ,0,469.99,Used,1,AT&T,Unknown,128,iPad Air,0,11118
Item is in excellent condition and been in a case since day one.,0,500,Used,0,None,Black,128,iPad 4,0,11113
Like New,0,398.99,Used,0,None,Unknown,128,iPad Air,0,10055
Like New,0,398.99,Used,0,None,Unknown,128,iPad Air,0,10239
"Looks like new, with original box, very very minor scratch (can barely see it)",0,500,Used,0,None,Black,128,iPad 4,0,10890
New (Open Box),0,565.95,New other (see details),0,None,Space Gray,128,iPad Air,0,10800
"New, sealed, box not included",1,0.99,New other (see details),0,None,Unknown,128,iPad Air 2,1,11115
"No known defects,some slight scratches on the back of ipad.",1,375,Used,0,None,White,128,iPad mini 2,1,10860
"No noticeable blemishes, screen in very good shape. Has always been used with case and cover. ",1,100,Used,1,AT&T,Space Gray,128,iPad Air,1,10331
"Pristine Condition(9.5/10), is very clean with no scratches, dents, or screen imperfections.  Unit ",0,589,Used,0,None,Gold,128,iPad Air 2,0,11355
"This iPad has been used, but cared for and is in perfect condition.  It comes with Apple&#039;s Smart ",1,445,Used,0,None,White,128,iPad 4,0,11329
USED / Cosmetics and few scratches / GOOD Condition / Perfect working,0,520,Used,0,None,White,128,iPad 4,0,11308
Very minimal use. Kept in hard case since it was purchased. Comes in mint condition with complete ,1,100,Used,1,T-Mobile,Unknown,128,iPad mini 2,1,10843
Will have some cosmetic damage.,0,399.99,Used,0,None,Unknown,128,iPad 4,0,10222
"Working. Tested Wifi, touch, sound, buttons, camera, charge port. Scratched case. Light scratches on ",0,550,Used,1,Unknown,Unknown,128,iPad Air 2,0,10605
&lt;iCloud Locked&gt;,1,32.95,For parts or not working,Unknown,Unknown,Unknown,32,Unknown,1,11641
30 Day Warranty.  Refurbished iPad 2 with scratching on screen and wear on backplate.  Comes with ,0,199.99,Seller refurbished,Unknown,None,Black,32,Unknown,0,11811
30 Day Warranty.  Refurbished iPad Mini with signs of normal wear including possible scratching on ,0,409.99,Seller refurbished,Unknown,AT&T,White,32,Unknown,1,11804
4 of 5. This item is gently used. The item shows minor signs of wear and tear including scuff marks ,0,389.99,Used,Unknown,Unknown,Unknown,32,iPad mini 3,1,11119
"8 x 64GB, 2 x 32GB &amp; 2 x 16GB iPad 1 Wifi &amp; Cellular - Please Read Description",1,275,For parts or not working,1,Unknown,Black,32,iPad 1,1,11776
Activation Locked Icloud Locked Passcode Locked Sold As Is No Returns All Sales Are Final,0,59.99,For parts or not working,Unknown,Unknown,Unknown,32,Unknown,0,11629
"APPLE iPAD AIR 32GB WHITE MD789LL/B WHITE. This item is Previously Lightly Used, in Good Condition. ",1,0.99,Used,Unknown,Unknown,Unknown,32,Unknown,1,11361
Awesome condition. Rarely used,0,285,Used,Unknown,Unknown,Unknown,32,Unknown,0,10676
"Barely used, no scratches",1,169.99,Used,0,None,Black,32,iPad 2,0,11004
Brand-new only broke the shrinkwrap to make sure that it was for T-Mobile.,0,439.98,New other (see details),Unknown,Unknown,Unknown,32,Unknown,1,10986
Broken Screen,1,0.99,For parts or not working,Unknown,Unknown,Unknown,32,Unknown,1,11722
"Cracked Screen, but device is still fully functional. iCloud Unlocked.",1,0.99,For parts or not working,Unknown,Unknown,Unknown,32,Unknown,1,11729
Customer Returned ITem - 2 Corners dented - Small Scuffs,0,159.95,Seller refurbished,Unknown,Unknown,Unknown,32,iPad mini,0,10718
EXCELLENT,1,99,Used,Unknown,Unknown,Unknown,32,Unknown,1,10997
"Flawless, barely used, just like brand new, completely erased and reset, no scratches, no cracks, ",0,250,Used,Unknown,Unknown,Black,32,Unknown,1,11570
"Fully working, used condition. iPad ONLY.",0,265,Used,Unknown,Unknown,Unknown,32,Unknown,0,11372
Fully working. Normal wear and tear.  iPad ONLY.,0,185,Used,Unknown,Unknown,Unknown,32,Unknown,0,10690
"Gentle used apple iPad Air, no scratches on screen and almost no visible wear on back of item. No ",0,318,Used,Unknown,Unknown,Unknown,32,Unknown,0,10946
Have signs of wear. Includes all accessories except the remote control and the user guide. Work ,0,30.99,Seller refurbished,Unknown,Unknown,Unknown,32,Unknown,0,11443
iCloud locked,0,100,For parts or not working,Unknown,Unknown,Unknown,32,Unknown,0,11761
In good condition with slight dents on two corners does not effect iPad performance. Please see ,0,199,Used,Unknown,Unknown,Black,32,iPad 3,1,10686
"Ipad 2 32gb Housing. Some scratches and small dents, but overall good condition.",0,19.99,For parts or not working,Unknown,Unknown,Unknown,32,Unknown,0,11767
"iPad Air 2 16 gb Logic board NO ICLOUD !!!  NO TURN ON , NO POWER",0,59,For parts or not working,Unknown,Unknown,Unknown,32,iPad Air 2,1,11759
"iPad Black 3rd generation 64Gb storage Model Mc707ll/a iPad is in very nice shape, glass and case ",1,200,Used,Unknown,Unknown,Unknown,32,iPad 3,0,11360
"Ipad has been cleared and factory reset, icloud has been removed and ready for new owner to setup. ",0,149.99,Used,Unknown,Unknown,White,32,Unknown,0,11466
Ipad is in fair condition. Minor scratches on back. Edge around screen is black instead of white.,0,159.99,Used,Unknown,Unknown,Unknown,32,Unknown,0,11244
"Ipad is in good condition, minimal wear and tear. Ipad will not power on. Keeps boot looping on ",0,59.99,For parts or not working,Unknown,Unknown,Unknown,32,iPad 1,0,11733
"iPad is used, in normal used condition. Shows some minor wear from regular use, but nothing major. ",0,225,Used,Unknown,Unknown,Unknown,32,iPad 3,0,10469
iPad working great - both iPhones have broken but fully functioning,0,195,Used,Unknown,Unknown,Unknown,32,Unknown,0,11412
Item has Original packaging. Original packaging has stickers on box. Device has light scratches and ,0,229.99,Used,Unknown,Unknown,Unknown,32,Unknown,0,11031
Item is lightly used with minimal cosmetic wear. It shows only minor signs of wear such as light ,1,149.99,Used,Unknown,Unknown,Unknown,32,Unknown,1,11302
Item is used and in like new condition. Item comes in original packaging.,0,70.99,Used,Unknown,Unknown,Unknown,32,Unknown,0,11457
Item is used and shows general wear associated with normal use. It has visible cosmetic ,1,199.97,Used,Unknown,Unknown,Unknown,32,Unknown,0,10741
"Item specifics: Condition:  The screen got broken and it was replaced, the unit works great. Seller ",0,219.99,Used,Unknown,None,Black,32,iPad 3,0,11842
Item Specifics: Condition: USED    The screen got broken and it was replaced and works great.    ,0,219.95,Used,Unknown,None,Black,32,iPad 3,0,11851
"Item still in complete working order, minor scratches, normal wear and tear but no damage. screen is ",1,125,Used,Unknown,Unknown,Unknown,32,iPad 1,1,11366
like new in open box. Looks like it may have only been used once or twice.,0,24.99,Used,Unknown,Unknown,Unknown,32,Unknown,0,11357
"Minor cosmetic defects, LCD in working order. THIS DEVICE IS I CLOUD LOCKED AND UNABLE TO BE ",1,20,For parts or not working,Unknown,Unknown,White,32,Unknown,1,11714
NEAR NEW CONDITION. ORIGINAL BOX AND CHARGER.,0,325,Seller refurbished,Unknown,Unknown,White,32,iPad Air,0,11431
New - Open Box. Charger included.,1,100,New other (see details),Unknown,Unknown,Unknown,32,Unknown,1,10130
No scratches. Not in box. Like new.,0,480,Used,Unknown,Unknown,Unknown,32,Unknown,0,11594
"Non-Functioning Unit, handset only. Please refer to the item description below. Contact us with any ",1,0.99,For parts or not working,Unknown,Unknown,Unknown,32,Unknown,1,11708
"Open box, was on exhibition, never used before.",0,44.99,New other (see details),Unknown,Unknown,Unknown,32,Unknown,1,11442
"Opened box, functional, no cosmetic damages, includes accessories. Please contact us with any ",1,0.99,Used,Unknown,Unknown,Unknown,32,Unknown,1,10688
"Opened box, no cosmetic damages, functional, includes accessories in retail package. Please contact ",1,0.99,Used,Unknown,Unknown,Unknown,32,Unknown,1,11142
"Opened box, no cosmetic damages, functional, includes accessories in retail package. Please contact ",1,0.99,Used,Unknown,Unknown,Unknown,32,Unknown,1,11277
"Opened box, no cosmetic damages, includes all accessories in retail package. Please contact us with ",1,0.99,Used,Unknown,Unknown,Unknown,32,Unknown,1,10854
Overall good condition. Some wear from use. Some scratches on back housing. Screen has minor ,0,309.99,Used,Unknown,Unknown,Unknown,32,iPad 4,0,10204
perfect condition,0,289,Used,Unknown,Unknown,Unknown,32,iPad mini,0,11568
"Perfect working order, cannot be updated past 5.1.1 . some cosmetic blemishes on the hard shell on ",0,99,Used,Unknown,Unknown,Unknown,32,Unknown,0,11417
"Please feel free to buy. All products have been thoroughly inspected, cleaned and tested to be 100% ",0,199.99,Seller refurbished,Unknown,Unknown,Unknown,32,Unknown,0,10005
"Please note that this unit is in working condition, but is locked with another Apple ID",1,299.99,For parts or not working,Unknown,Unknown,Unknown,32,Unknown,1,11619
Refurbished,0,168,Seller refurbished,0,None,Unknown,32,Unknown,0,11389
Screens are in great shape!  Digitizer issues.,1,49.99,Used,Unknown,Unknown,Black,32,Unknown,1,10201
"Shows Apple ID locked, password required on activation screen.  Unknown imei and storage space.  ",0,79,For parts or not working,Unknown,Unknown,Unknown,32,iPad mini,0,11754
Swiped memory. Just like new.,1,80,Used,0,None,White,32,iPad 1,0,10687
Sync/Charge cable included.  Unit is in perfect working order with only minimal scuffs.  No earbuds ,0,155,Used,Unknown,Unknown,Unknown,32,Unknown,0,10244
Sync/Charge cable included.  Unit is in perfect working order with only minimal scuffs.  No earbuds ,0,165,Used,Unknown,Unknown,Unknown,32,Unknown,0,11294
Sync/Charge cable included.  Unit is in perfect working order with only minimal scuffs.  No earbuds ,0,276.99,Used,Unknown,Unknown,Unknown,32,Unknown,0,11367
Sync/Charge cable included.  Unit is in perfect working order with only minimal scuffs.  No earbuds ,0,340,Used,Unknown,Unknown,Unknown,32,Unknown,0,11378
Tested Working - Great condition! -  Grade A,0,255,Seller refurbished,Unknown,Unknown,Unknown,32,Unknown,0,11458
The Screen is cracked and it needs to be reset.,1,65,For parts or not working,Unknown,Unknown,Black,32,Unknown,0,11748
This auction is for the iPad Mini for Parts only. This iPad Mini is locked and the owner forgot the ,0,99.99,For parts or not working,0,None,Black,32,iPad mini,1,11740
This device is used but in good cosmetic condition; it has signs of normal wear and tear with some ,0,319.99,Used,Unknown,Unknown,Unknown,32,Unknown,1,11814
This device is used but in good cosmetic condition; it has signs of normal wear and tear with some ,0,319.99,Used,Unknown,Unknown,Unknown,32,Unknown,1,11816
This device was previously owned but is in Mint condition. Items in Mint condition may have signs of ,0,249,Seller refurbished,Unknown,Unknown,Unknown,32,Unknown,0,11819
This device was previously owned but is in Mint condition. Items in Mint condition may have signs of ,0,289,Seller refurbished,Unknown,Unknown,Unknown,32,Unknown,0,11827
"This is a pre-owned device. It is in very good condition and may have signs of minimal wear, but ",0,229,Seller refurbished,Unknown,Unknown,Unknown,32,Unknown,1,11823
"This is a pre-owned device. It is in very good condition and may have signs of minimal wear, but ",0,319,Seller refurbished,Unknown,Unknown,Unknown,32,Unknown,0,11826
This item is used but in very good condition. It will have some very minor signs of use such as ,0,419.99,Used,Unknown,Unknown,Unknown,32,Unknown,1,11817
This item is used but in very good condition. It will have some very minor signs of use such as ,0,159.99,Used,Unknown,Unknown,Unknown,32,Unknown,1,11821
this item used work fine in good condition come with original ac adapter and USB cable,0,279.99,Used,Unknown,Unknown,Unknown,32,iPad Air,0,10072
THIS ITEM WAS A STORE DEMO BUT HAS 100% BEEN RESTORED TO FACTORY SETTINGS AND IS READY FOR USE. DOES ,1,0.99,Used,Unknown,Unknown,Unknown,32,Unknown,1,10420
Unable to accept new apple updates but still connects to wifi networks,1,70,Used,Unknown,Unknown,Unknown,32,iPad 1,1,11296
USED IN GOOD WORKING CONDITION - HAS COSMETIC SCRATCHES/BLEMISHES...SCRATCHES ARE NOT VISIBLE WHEN ,1,220,Used,Unknown,Unknown,Unknown,32,Unknown,0,11335
"Used, in super great condition plastic is till on, used for less than a year",1,99.99,Used,Unknown,Unknown,Unknown,32,Unknown,1,10759
VERY GOOD CONDITION. VERY LITTLE TO NO SCRATCHES. PROTECTIVE CASE HAS A LITTLE WEAR ON CORNERS (SEE ,1,229.95,Used,Unknown,Unknown,Unknown,32,Unknown,0,11311
"Water damage, broken. See full description for details",0,80,For parts or not working,Unknown,Unknown,Unknown,32,iPad 2,1,11725
Working condition!,1,100,Used,Unknown,Unknown,Black,32,Unknown,1,10389
Works great!,0,8,Used,Unknown,Unknown,Unknown,32,iPad 4,1,11581
Works like new.,1,45,Used,Unknown,Unknown,Unknown,32,Unknown,1,11332
